,Dice_mean,Dice_std,Jaccard_mean,Jaccard_std,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,SSIM_mean,SSIM_std
HV-OCTAMamba,0.8586417033025845,0.022037771906236917,0.7529371252401046,0.03311362515799443,0.9812424266581633,0.002334038449250765,0.8572366903684617,0.02879007158741011,0.9901776879189466,0.0017958298612899964,0.887931177444998,0.014327938637384446
OCTAMamba,0.8485091536355513,0.02067438146835051,0.7374293592916511,0.03068148134811862,0.9794300063775511,0.0025058678428009407,0.864891690453003,0.028619216492993465,0.9876770233354365,0.0020738369735245686,0.883881789673261,0.014656676836609747
AC-Mamba,0.8708834310592757,0.021012286613552048,0.7718901072950985,0.031930843308948666,0.9830970982142857,0.0024431054387323257,0.8560425976155429,0.02703946521311162,0.9923710984546336,0.0016431832229451076,0.8946112952325206,0.015810286630776
H-vmunet,0.7279095919438805,0.032712988150176994,0.573257511232599,0.04055817133386924,0.9632975924744898,0.003980824346034298,0.7374851810117536,0.04187484820523356,0.979651707760258,0.0025191389108945596,0.7946144621002618,0.024239639307243117
H2Former,0.82214324402421,0.023435313439902707,0.6986621325023874,0.03333223835657644,0.9759988839285714,0.003073497847206554,0.831765180663635,0.027190615777648346,0.9864165530315439,0.0020116114685338918,0.8679895928676222,0.016705287365921917
MISSFormer,0.8301026924146611,0.023824016371786414,0.71025130893115,0.03437139275705271,0.9772743941326532,0.002699740468493858,0.8346195853672503,0.0315657001312519,0.9876012110086262,0.0019387439462506982,0.8676725177592295,0.01721826528748373
VM-UNet,0.794358157046238,0.02582009573974229,0.6596249936958866,0.035394577088677555,0.9731640625000001,0.00315294270336461,0.7778482872396754,0.029557980164710326,0.9873402603745821,0.002282625596128753,0.8404453227530138,0.020226929425061838
VM-UNetv2,0.68213050691473,0.03319639540643936,0.5185784176846601,0.03883726110069823,0.9549896364795917,0.004962689018904036,0.7238602114533441,0.04050897980228329,0.9716764915310062,0.0033198586018244832,0.7803429740437577,0.025221243846997712
Swin-Unet,0.80489044119456,0.02762189763743968,0.6743692856805231,0.03820922886115707,0.9736834343112244,0.003162256221785,0.8157658007154847,0.026894274694307295,0.9851066438923293,0.0028530491223576495,0.8373086848302543,0.023765022527912433
R2UNet,0.7313084959686255,0.030137320064077905,0.5773227765895785,0.03771163380624205,0.9671504304846938,0.0037240684170662484,0.6706120132314858,0.03809408765910717,0.9885893267314052,0.002277172706639549,0.8046985609654093,0.022341114552429743
UNet++,0.8775977406552892,0.020654200174408933,0.7824779124943062,0.031839126465998374,0.9837930484693878,0.002385162249902606,0.8728682738323702,0.02541270130495763,0.9918323560700447,0.001963059092317242,0.9019435691231641,0.01425547535620122
U-Net,0.8287694377294494,0.021629492332027413,0.7081800427643131,0.03111718584115908,0.9775932716836735,0.0028526846354779423,0.8125898686690257,0.02691846351874137,0.9894957692792219,0.0016574517798695965,0.8735068635008448,0.016058089332090422
